,Configuration,Averaged on Last Epoch,Averaged Max Achieved,Overall Max on Last Epoch,Overall Max Achieved,Averaged Max Epoch
415,"Activation: hard_sigmoid, Optimizer: Nadam, beta_1: 0.900000, beta_2: 0.990000, Schedule Decay: 0.004000, Normalized data",97.488,97.58200000000001,97.64,97.77,38
416,"Activation: hard_sigmoid, Optimizer: Nadam, beta_1: 0.950000, beta_2: 0.999000, Schedule Decay: 0.004000, Normalized data",97.452,97.54400000000001,97.63,97.8,66
417,"Activation: hard_sigmoid, Optimizer: Nadam, beta_1: 0.950000, beta_2: 0.990000, Schedule Decay: 0.004000, Normalized data",97.508,97.558,97.63,97.78999999999999,68
418,"Activation: hard_sigmoid, Optimizer: Nadam, beta_1: 0.950000, beta_2: 0.950000, Schedule Decay: 0.004000, Normalized data",97.33599999999998,97.492,97.45,97.6,50
419,"Activation: hard_sigmoid, Optimizer: Nadam, beta_1: 0.950000, beta_2: 0.900000, Schedule Decay: 0.004000, Normalized data",97.196,97.432,97.33000000000001,97.56,31
420,"Activation: hard_sigmoid, Optimizer: Nadam, beta_1: 0.900000, beta_2: 0.900000, Schedule Decay: 0.004000, Normalized data",97.288,97.46599999999998,97.41,97.6,48
421,"Activation: hard_sigmoid, Optimizer: Nadam, beta_1: 0.900000, beta_2: 0.950000, Schedule Decay: 0.004000, Normalized data",97.39599999999999,97.50200000000001,97.57000000000001,97.7,37
422,"Activation: LeakyReLU, Optimizer: sgd, Momentum: 0.100000, Decay: 0.000000, Nesterov: False, Normalized data",96.83999999999999,96.83999999999999,96.88,96.9,99
423,"Activation: LeakyReLU, Optimizer: sgd, Momentum: 0.900000, Decay: 0.000000, Nesterov: False, Normalized data",97.488,97.53999999999999,97.72999999999999,97.72999999999999,98
424,"Activation: LeakyReLU, Optimizer: sgd, Momentum: 0.950000, Decay: 0.000000, Nesterov: False, Normalized data",97.384,97.482,97.54,97.65,94
