,Activation,Optimizer,Configuration,Data type,Averaged on Last Epoch,Averaged Max Achieved,Overall Max on Last Epoch,Overall Max Achieved,Averaged Max Epoch
352,softsign,Adadelta,rho: 0.99,Normd,97.646,97.684,97.78,97.84,89
686,relu,Adadelta,rho: 0.99,Std,97.51800000000001,97.684,97.61999999999999,97.89,44
695,relu,adam,"amsgrad: True, beta_1: 0.95, beta_2: 0.999",Std,97.59,97.684,97.75,97.86,68
752,elu,Nadam,"beta_1: 0.95, beta_2: 0.95",Std,97.5,97.682,97.58,97.92,27
838,softplus,Nadam,"beta_1: 0.95, beta_2: 0.999",Std,97.67399999999998,97.68,97.83,97.98,81
332,softplus,Nadam,"beta_1: 0.9, beta_2: 0.9",Normd,96.954,97.68,97.05,97.86,23
342,softsign,sgd,"Momentum: 0.95, Nesterov: True",Normd,97.65999999999998,97.67999999999999,97.78999999999999,97.83,92
697,relu,Adamax,"beta_1: 0.99, beta_2: 0.9999",Std,97.64999999999999,97.678,97.72999999999999,97.82,91
398,hard_sigmoid,Adadelta,rho: 0.9999,Normd,97.67600000000002,97.67600000000002,97.77,97.86,99
73,sigmoid,sgd,"Momentum: 0.99, Nesterov: False",Normd,97.614,97.676,97.82,97.97,82
94,sigmoid,adam,"amsgrad: False, beta_1: 0.9, beta_2: 0.9999",Normd,97.61599999999999,97.674,97.65,97.82,88
839,softplus,Nadam,"beta_1: 0.95, beta_2: 0.99",Std,97.538,97.674,97.72999999999999,97.94,39
15,relu,adam,Default,Normd,97.51200000000001,97.674,97.72,97.94,34
700,relu,Adamax,"beta_1: 0.95, beta_2: 0.99",Std,97.53999999999999,97.67399999999998,97.67,97.87,40
813,softplus,rmsp,rho: 0.95,Std,97.482,97.672,97.67,97.89,32
798,selu,Nadam,"beta_1: 0.9, beta_2: 0.9",Std,97.51999999999998,97.672,97.65,97.92999999999999,50
139,tanh,adam,"amsgrad: True, beta_1: 0.95, beta_2: 0.9999",Normd,97.558,97.668,97.71,97.83,39
171,relu,rmsp,rho: 0.95,Normd,97.48400000000001,97.668,97.53,97.91,38
196,relu,Nadam,"beta_1: 0.95, beta_2: 0.999",Normd,97.51200000000001,97.668,97.56,97.95,23
545,softplus,rmsp,Default,Std,97.39999999999999,97.66599999999998,97.57000000000001,97.82,27
175,relu,Adadelta,rho: 0.9,Normd,97.514,97.664,97.61999999999999,97.84,55
109,sigmoid,Nadam,"beta_1: 0.95, beta_2: 0.99",Normd,97.49400000000001,97.664,97.61999999999999,97.86,62
703,relu,Adamax,"beta_1: 0.9, beta_2: 0.99",Std,97.56,97.664,97.69,97.97,28
101,sigmoid,Adamax,"beta_1: 0.95, beta_2: 0.999",Normd,97.62599999999999,97.66199999999999,97.85000000000001,97.88,86
668,relu,sgd,"Momentum: 0.1, Nesterov: False",Std,97.66000000000001,97.66000000000001,97.76,97.76,99
797,selu,Nadam,"beta_1: 0.95, beta_2: 0.9",Std,97.22200000000001,97.66,97.48,97.82,21
331,softplus,Nadam,"beta_1: 0.95, beta_2: 0.9",Normd,96.96199999999999,97.66,97.06,97.82,21
673,relu,sgd,"Momentum: 0.0, Nesterov: True",Std,97.66,97.66,97.81,97.81,99
353,softsign,Adadelta,rho: 0.999,Normd,97.53399999999999,97.66,97.7,97.78999999999999,98
410,hard_sigmoid,Adamax,"beta_1: 0.95, beta_2: 0.99",Normd,97.58800000000001,97.658,97.78999999999999,97.78999999999999,91
